"sub","SelfRew1","SelfRew2","SelfRew3","OtherRew1","OtherRew2","OtherRew3","SelfEff1","SelfEff2","SelfEff3","SelfEff4","OtherEff1","OtherEff2","OtherEff3","OtherEff4","WorkSelf","WorkOther","trabajo_self","trabajo_other","trabajo_total","zeros_SELF","zeros_OTHER","zeros_TOTAL","trabajo_self_ajustado","trabajo_other_ajustado","trabajo_total_ajustado","tasa_fallo_self","tasa_fallo_other","tasa_fallo_total"
"5654",1,1,1,0.25,0.5714,0.3333,1,1,1,1,1,0.1667,0,0.2,1,0.381,100,33.33,66.67,0,12.5,6.25,100,38.1,71.11,8.33,12.5,9.38
"5822",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,0,0,0,100,100,100,0,0,0
"5835",1,1,1,0.6667,1,1,1,1,1,1,1,0.75,1,0.8,1,0.8889,79.17,66.67,72.92,20.83,25,22.92,100,88.89,94.59,5.26,6.25,5.71
"5918",0.375,0.75,0.75,0.125,0.25,0.25,1,0.8333,0.3333,0.3333,0.6667,0.1667,0,0,0.625,0.2083,62.5,20.83,41.67,0,0,0,62.5,20.83,41.67,6.67,0,5
"6055",1,0.875,1,1,0.875,0.875,1,1,1,0.8333,1,0.8,0.8333,1,0.9583,0.913,95.83,87.5,91.67,0,4.17,2.08,95.83,91.3,93.62,4.35,0,2.27
"6121",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,91.67,95.83,0,8.33,4.17,100,100,100,4.17,0,2.17
"6246",1,1,1,0.125,0.125,0,1,1,1,1,0.1667,0,0.1667,0,1,0.0833,95.83,8.33,52.08,4.17,0,2.08,100,8.33,53.19,0,0,0
"6247",0.875,1,1,0.6,0,0.4,1,1,0.8333,1,0.2,0.6667,0.3333,0.25,0.9545,0.3333,87.5,20.83,54.17,8.33,37.5,22.92,95.45,33.33,70.27,42.86,60,46.15
"6324",1,1,1,0.4,0.5714,0.5,1,1,1,1,0.8,0,0.6,0.4,1,0.5,100,37.5,68.75,0,25,12.5,100,50,78.57,25,55.56,33.33
"6332",0.875,1,1,0.375,0.125,0.1429,1,1,0.8333,1,0.1667,0.1667,0.1667,0.4,0.9583,0.2174,95.83,20.83,58.33,0,4.17,2.08,95.83,21.74,59.57,4.35,0,3.57
"6335",1,1,1,1,1,0.875,1,1,1,1,1,1,0.8333,1,1,0.9583,100,95.83,97.92,0,0,0,100,95.83,97.92,0,0,0
"6397",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,95.83,95.83,95.83,4.17,4.17,4.17,100,100,100,4.35,4.35,4.35
