"","sub","HelpSelf","HelpOther","SelfRew1","SelfRew2","SelfRew3","OtherRew1","OtherRew2","OtherRew3","SelfEff1","SelfEff2","SelfEff3","SelfEff4","OtherEff1","OtherEff2","OtherEff3","OtherEff4","WorkSelf","WorkOther"
"38","3928",0.75,0.7917,0.625,0.875,0.75,0.875,0.875,0.625,1,0.5,1,0.5,0.6667,0.6667,0.8333,1,0.9,1
"39","3976",0.4583,0.0833,0,0.75,0.625,0,0.125,0.125,0.5,0.3333,0.5,0.5,0.3333,0,0,0,0.7333,0.4
"40","4164",0.6667,0.875,0.75,0.75,0.5,0.625,1,1,0.8333,0.5,0.6667,0.6667,0.8333,0.8333,1,0.8333,0.7273,1
"41","4231",1,0.6667,1,1,1,0.75,0.75,0.5,1,1,1,1,0.6667,0.8333,0.5,0.6667,1,0.7619
"42","4241",0.8333,0.7917,1,0.75,0.75,0.75,0.875,0.75,1,0.6667,0.6667,1,0.6667,1,0.8333,0.6667,0.9524,1
"43","4336",0.9583,0.1667,1,1,0.875,0,0.375,0.125,1,0.8333,1,1,0.1667,0.1667,0.1667,0.1667,1,0.3333
"44","4423",0.6667,0.7917,0.625,0.625,0.75,0.625,0.875,0.875,0.8333,0.3333,1,0.5,0.8333,0.6667,0.6667,1,0.9412,1
"45","4436",0.875,0.9167,0.875,0.875,0.875,0.875,1,0.875,0.8333,1,0.6667,1,1,0.8333,1,0.8333,0.913,0.9167
"46","4625",0.375,0.375,0.375,0.5,0.25,0.25,0.375,0.5,0.6667,0.1667,0.3333,0.3333,0.3333,0.1667,0.5,0.5,0.375,0.4737
"47","4883",0.6667,0.4167,0.5,0.75,0.75,0.25,0.625,0.375,0.6667,0.8333,0.6667,0.5,0.5,0.5,0.3333,0.3333,0.8,0.625
"48","4920",0.9583,0.9583,1,1,0.875,1,1,0.875,1,0.8333,1,1,0.8333,1,1,1,1,1
"49","4961",0.8333,0.7083,0.875,0.75,0.875,0.625,0.875,0.625,0.8333,0.8333,1,0.6667,0.6667,0.6667,0.6667,0.8333,1,0.8947
"50","5096",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51","5113",1,0.0417,1,1,1,0,0,0.125,1,1,1,1,0.1667,0,0,0,1,0.0435
