"sub","trial","decision","reward","effort","agent","success","grupo"
"1252",24,1,3,4,0,0,1
"1252",25,2,1,1,1,0,1
"1252",26,1,2,1,1,0,1
"1252",27,1,3,1,1,0,1
"1252",28,1,1,2,1,0,1
"1252",29,1,2,2,1,0,1
"1252",30,0,3,2,1,0,1
"1252",31,1,1,3,1,0,1
"1252",32,1,2,3,1,0,1
"1252",33,1,3,3,1,0,1
"1252",34,1,1,4,1,0,1
"1252",35,0,2,4,1,0,1
"1252",36,0,3,4,1,0,1
"1252",37,1,1,1,1,0,1
"1252",38,1,2,1,1,0,1
"1252",39,1,3,1,1,0,1
"1252",40,1,1,2,1,0,1
"1252",41,1,2,2,1,0,1
"1252",42,1,3,2,1,0,1
"1252",43,1,1,3,1,0,1
"1252",44,1,2,3,1,0,1
"1252",45,1,3,3,1,0,1
"1252",46,1,1,4,1,0,1
"1252",47,1,2,4,1,0,1
"1252",48,1,3,4,1,0,1
"1363",1,0,1,1,0,0,0
"1363",2,1,2,1,0,0,0
"1363",3,1,3,1,0,0,0
"1363",4,1,1,2,0,0,0
"1363",5,1,2,2,0,0,0
"1363",6,1,3,2,0,0,0
"1363",7,0,1,3,0,0,0
"1363",8,1,2,3,0,0,0
"1363",9,0,3,3,0,0,0
"1363",10,1,1,4,0,0,0
"1363",11,0,2,4,0,0,0
"1363",12,1,3,4,0,0,0
"1363",13,1,1,1,0,0,0
"1363",14,1,2,1,0,0,0
"1363",15,0,3,1,0,0,0
"1363",16,1,1,2,0,0,0
"1363",17,0,2,2,0,0,0
"1363",18,0,3,2,0,0,0
"1363",19,1,1,3,0,1,0
"1363",20,1,2,3,0,0,0
"1363",21,1,3,3,0,1,0
"1363",22,1,1,4,0,0,0
"1363",23,0,2,4,0,0,0
"1363",24,1,3,4,0,0,0
"1363",25,1,1,1,1,0,0
"1363",26,1,2,1,1,0,0
"1363",27,1,3,1,1,0,0
"1363",28,1,1,2,1,0,0
"1363",29,1,2,2,1,0,0
"1363",30,1,3,2,1,0,0
"1363",31,2,1,3,1,0,0
"1363",32,0,2,3,1,0,0
"1363",33,2,3,3,1,0,0
"1363",34,1,1,4,1,0,0
"1363",35,2,2,4,1,0,0
"1363",36,1,3,4,1,0,0
"1363",37,1,1,1,1,0,0
"1363",38,0,2,1,1,0,0
"1363",39,1,3,1,1,0,0
"1363",40,0,1,2,1,0,0
"1363",41,1,2,2,1,0,0
"1363",42,1,3,2,1,0,0
"1363",43,0,1,3,1,0,0
"1363",44,1,2,3,1,0,0
"1363",45,1,3,3,1,0,0
"1363",46,1,1,4,1,0,0
"1363",47,2,2,4,1,0,0
"1363",48,0,3,4,1,0,0
"1388",1,1,1,1,0,0,1
"1388",2,1,2,1,0,0,1
"1388",3,1,3,1,0,0,1
"1388",4,1,1,2,0,0,1
"1388",5,1,2,2,0,0,1
"1388",6,1,3,2,0,0,1
"1388",7,1,1,3,0,0,1
"1388",8,2,2,3,0,0,1
"1388",9,1,3,3,0,0,1
"1388",10,1,1,4,0,0,1
"1388",11,1,2,4,0,1,1
"1388",12,1,3,4,0,1,1
"1388",13,1,1,1,0,1,1
"1388",14,1,2,1,0,1,1
"1388",15,1,3,1,0,0,1
"1388",16,1,1,2,0,1,1
"1388",17,2,2,2,0,0,1
"1388",18,1,3,2,0,0,1
"1388",19,1,1,3,0,1,1
"1388",20,2,2,3,0,0,1
"1388",21,1,3,3,0,1,1
"1388",22,1,1,4,0,0,1
"1388",23,1,2,4,0,0,1
"1388",24,1,3,4,0,0,1
"1388",25,2,1,1,1,0,1
"1388",26,2,2,1,1,0,1
"1388",27,0,3,1,1,0,1
"1388",28,2,1,2,1,0,1
"1388",29,2,2,2,1,0,1
"1388",30,1,3,2,1,0,1
"1388",31,2,1,3,1,0,1
"1388",32,0,2,3,1,0,1
"1388",33,2,3,3,1,0,1
"1388",34,1,1,4,1,1,1
"1388",35,0,2,4,1,0,1
"1388",36,0,3,4,1,0,1
"1388",37,2,1,1,1,0,1
"1388",38,2,2,1,1,0,1
"1388",39,2,3,1,1,0,1
"1388",40,1,1,2,1,0,1
"1388",41,2,2,2,1,0,1
"1388",42,2,3,2,1,0,1
"1388",43,2,1,3,1,0,1
"1388",44,2,2,3,1,0,1
"1388",45,2,3,3,1,0,1
"1388",46,2,1,4,1,0,1
"1388",47,0,2,4,1,0,1
"1388",48,2,3,4,1,0,1
"1423",1,1,1,1,0,0,1
"1423",2,1,2,1,0,0,1
"1423",3,1,3,1,0,0,1
"1423",4,1,1,2,0,0,1
"1423",5,1,2,2,0,0,1
"1423",6,1,3,2,0,0,1
"1423",7,1,1,3,0,0,1
"1423",8,1,2,3,0,0,1
"1423",9,1,3,3,0,0,1
"1423",10,1,1,4,0,0,1
"1423",11,1,2,4,0,0,1
"1423",12,1,3,4,0,0,1
"1423",13,1,1,1,0,0,1
"1423",14,1,2,1,0,0,1
"1423",15,1,3,1,0,0,1
"1423",16,1,1,2,0,0,1
"1423",17,1,2,2,0,0,1
"1423",18,1,3,2,0,0,1
"1423",19,1,1,3,0,0,1
"1423",20,1,2,3,0,0,1
"1423",21,1,3,3,0,0,1
"1423",22,1,1,4,0,0,1
"1423",23,1,2,4,0,0,1
"1423",24,2,3,4,0,0,1
"1423",25,1,1,1,1,0,1
"1423",26,1,2,1,1,0,1
"1423",27,1,3,1,1,0,1
"1423",28,0,1,2,1,0,1
"1423",29,1,2,2,1,0,1
"1423",30,1,3,2,1,0,1
"1423",31,1,1,3,1,0,1
"1423",32,1,2,3,1,0,1
"1423",33,1,3,3,1,0,1
"1423",34,1,1,4,1,0,1
"1423",35,1,2,4,1,0,1
"1423",36,1,3,4,1,1,1
"1423",37,1,1,1,1,0,1
"1423",38,1,2,1,1,0,1
"1423",39,1,3,1,1,0,1
"1423",40,1,1,2,1,0,1
"1423",41,1,2,2,1,0,1
"1423",42,1,3,2,1,0,1
"1423",43,1,1,3,1,0,1
"1423",44,1,2,3,1,0,1
"1423",45,1,3,3,1,0,1
"1423",46,1,1,4,1,0,1
"1423",47,1,2,4,1,0,1
"1423",48,1,3,4,1,0,1
"1499",1,1,1,1,0,0,0
"1499",2,2,2,1,0,0,0
"1499",3,1,3,1,0,0,0
"1499",4,1,1,2,0,0,0
"1499",5,0,2,2,0,0,0
"1499",6,1,3,2,0,0,0
"1499",7,0,1,3,0,0,0
"1499",8,1,2,3,0,0,0
"1499",9,1,3,3,0,0,0
"1499",10,1,1,4,0,0,0
"1499",11,1,2,4,0,0,0
"1499",12,1,3,4,0,0,0
"1499",13,1,1,1,0,0,0
"1499",14,1,2,1,0,0,0
"1499",15,1,3,1,0,0,0
"1499",16,1,1,2,0,1,0
"1499",17,1,2,2,0,1,0
"1499",18,1,3,2,0,0,0
"1499",19,1,1,3,0,0,0
"1499",20,1,2,3,0,0,0
"1499",21,1,3,3,0,0,0
"1499",22,1,1,4,0,0,0
"1499",23,1,2,4,0,0,0
"1499",24,1,3,4,0,0,0
"1499",25,1,1,1,1,0,0
"1499",26,1,2,1,1,0,0
"1499",27,1,3,1,1,0,0
"1499",28,2,1,2,1,0,0
"1499",29,2,2,2,1,0,0
"1499",30,0,3,2,1,0,0
"1499",31,1,1,3,1,0,0
"1499",32,0,2,3,1,0,0
"1499",33,1,3,3,1,0,0
"1499",34,0,1,4,1,0,0
"1499",35,1,2,4,1,0,0
"1499",36,1,3,4,1,0,0
"1499",37,0,1,1,1,0,0
"1499",38,1,2,1,1,0,0
"1499",39,1,3,1,1,0,0
"1499",40,0,1,2,1,0,0
"1499",41,0,2,2,1,0,0
"1499",42,0,3,2,1,0,0
"1499",43,1,1,3,1,0,0
"1499",44,0,2,3,1,0,0
"1499",45,0,3,3,1,0,0
"1499",46,0,1,4,1,0,0
"1499",47,1,2,4,1,0,0
"1499",48,0,3,4,1,0,0
"1516",1,2,1,1,0,0,0
"1516",2,2,2,1,0,0,0
"1516",3,1,3,1,0,0,0
